Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Season'], Accuracy: 0.5316, Spearman: 0.9624
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Season'], Accuracy: 0.5079, Spearman: 0.8241
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Domaci'], Accuracy: 0.5605, Spearman: 0.9368
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Domaci'], Accuracy: 0.5447, Spearman: 0.9083
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Domaci'], Accuracy: 0.5868, Spearman: 0.9654
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Domaci'], Accuracy: 0.5395, Spearman: 0.9368
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Domaci'], Accuracy: 0.5105, Spearman: 0.9173
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Gost'], Accuracy: 0.5526, Spearman: 0.9353
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Gost'], Accuracy: 0.5368, Spearman: 0.8662
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Gost'], Accuracy: 0.5868, Spearman: 0.9654
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Gost'], Accuracy: 0.5421, Spearman: 0.9699
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Novi u Ligi Gost'], Accuracy: 0.4921, Spearman: 0.9158
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Domacina Numericki'], Accuracy: 0.5632, Spearman: 0.9398
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Domacina Numericki'], Accuracy: 0.5447, Spearman: 0.9083
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Domacina Numericki'], Accuracy: 0.5895, Spearman: 0.9805
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Domacina Numericki'], Accuracy: 0.5474, Spearman: 0.9398
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Domacina Numericki'], Accuracy: 0.4921, Spearman: 0.8902
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Gosta Numericki'], Accuracy: 0.5316, Spearman: 0.9173
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Gosta Numericki'], Accuracy: 0.5526, Spearman: 0.9158
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Gosta Numericki'], Accuracy: 0.5921, Spearman: 0.9805
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Gosta Numericki'], Accuracy: 0.5526, Spearman: 0.9594
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Forma Gosta Numericki'], Accuracy: 0.5211, Spearman: 0.9699
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Otezana Forma Domacina'], Accuracy: 0.5658, Spearman: 0.9519
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Otezana Forma Domacina'], Accuracy: 0.5500, Spearman: 0.8677
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Otezana Forma Domacina'], Accuracy: 0.5658, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Otezana Forma Domacina'], Accuracy: 0.5474, Spearman: 0.9444
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Otezana Forma Domacina'], Accuracy: 0.5000, Spearman: 0.9639
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365A', 'Otezana Forma Gosta'], Accuracy: 0.5684, Spearman: 0.9338
