Model: KNN, Features: ['HomeTeam', 'Referee', 'B365H'], Accuracy: 0.5184, Spearman: 0.9173
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'B365D'], Accuracy: 0.4395, Spearman: 0.7835
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'B365D'], Accuracy: 0.4737, Spearman: 0.5429
Model: SVC, Features: ['HomeTeam', 'Referee', 'B365D'], Accuracy: 0.4711, Spearman: 0.1113
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'B365D'], Accuracy: 0.4526, Spearman: 0.6872
Model: KNN, Features: ['HomeTeam', 'Referee', 'B365D'], Accuracy: 0.4474, Spearman: 0.7910
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'B365A'], Accuracy: 0.5026, Spearman: 0.9308
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'B365A'], Accuracy: 0.5395, Spearman: 0.9504
Model: SVC, Features: ['HomeTeam', 'Referee', 'B365A'], Accuracy: 0.5789, Spearman: 0.9820
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'B365A'], Accuracy: 0.5316, Spearman: 0.9474
Model: KNN, Features: ['HomeTeam', 'Referee', 'B365A'], Accuracy: 0.5237, Spearman: 0.9038
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Year'], Accuracy: 0.3921, Spearman: 0.5218
/usr/local/lib/python3.11/dist-packages/sklearn/linear_model/_logistic.py:465: ConvergenceWarning: lbfgs failed to converge (status=1):
STOP: TOTAL NO. of ITERATIONS REACHED LIMIT.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression
  n_iter_i = _check_optimize_result(
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Year'], Accuracy: 0.4921, Spearman: 0.6241
Model: SVC, Features: ['HomeTeam', 'Referee', 'Year'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Year'], Accuracy: 0.4947, Spearman: 0.6361
Model: KNN, Features: ['HomeTeam', 'Referee', 'Year'], Accuracy: 0.4026, Spearman: 0.1534
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Month'], Accuracy: 0.4579, Spearman: 0.7383
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Month'], Accuracy: 0.4789, Spearman: 0.6526
Model: SVC, Features: ['HomeTeam', 'Referee', 'Month'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Month'], Accuracy: 0.4632, Spearman: 0.5098
Model: KNN, Features: ['HomeTeam', 'Referee', 'Month'], Accuracy: 0.4500, Spearman: 0.5173
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Season'], Accuracy: 0.4132, Spearman: 0.3594
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Season'], Accuracy: 0.4526, Spearman: 0.5023
Model: SVC, Features: ['HomeTeam', 'Referee', 'Season'], Accuracy: 0.4763, Spearman: 0.3820
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Season'], Accuracy: 0.4579, Spearman: 0.5038
Model: KNN, Features: ['HomeTeam', 'Referee', 'Season'], Accuracy: 0.4447, Spearman: 0.5970
